candidate_id,live_feed,historical_feed,PIT_reconstructable,L1_available,L2_available,L3_available,queue_replay_possible,timestamp_adequacy,venue_live_feed_min_interval_us,candidate_horizon_min_us,cadence_vs_horizon,depth_source_id,history_source_id,PIT_source_id,timestamp_source_id,feasibility_note,consistency_note,unknown_fields
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,PASS,BLOCKED,BLOCKED,PASS,PASS,FAIL,FAIL,BLOCKED,500000,15000000,PASS,SRC-0111,SRC-0118,UNKNOWN,UNKNOWN,Funding/basis history and cross-venue hedge data are not locked.,NO_CONTRADICTION_DETECTED,NONE
TUP-EUREX-FESX-H2H3-OFIQ-MIX,PASS,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,100000,BLOCKED,SRC-0110,UNKNOWN,UNKNOWN,UNKNOWN,"EOBI order-book interface documentation is verified; historical acquisition, cost and access are not, and L1/L2/L3 availability is not characterised for this project.",NO_CONTRADICTION_DETECTED,NONE
TUP-CBOE-USOPT-H5-SURFRV-MIX,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,FAIL,BLOCKED,UNKNOWN,300000000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Options surface data, NBBO/proprietary depth and PIT greek derivation are not locked; queue replay is not the mechanism, recorded FAIL only to mean 'not applicable/not needed' — no economic conclusion is drawn from that cell.",NO_CONTRADICTION_DETECTED,NONE
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,300000000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Required current access/fee/data facts were not verified in the M1-A pass.,NO_CONTRADICTION_DETECTED,NONE
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,300000000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"API/fee/history schema not locked, and jurisdiction-specific access is unresolved (EVD-0016).",NO_CONTRADICTION_DETECTED,NONE
TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,300000000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Current primary access and execution facts insufficient.,NO_CONTRADICTION_DETECTED,NONE
TUP-USSTOCK-XVENUE-H1-STALEQUOTE-AGG,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,10000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No multi-venue synchronized-feed package is locked; NYSE/IEX exact 2026 fees and direct-feed history were outside the M1-A coverage.,NO_CONTRADICTION_DETECTED,NONE
TUP-FX-ECN-H2H3-LEADLAG-AGG,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,100000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Venue/feed/access not specified tightly enough to assess any availability column.,NO_CONTRADICTION_DETECTED,NONE
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,1000000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Broker and feed semantics undefined.,NO_CONTRADICTION_DETECTED,NONE
TUP-METHOD-PASSIVE-TOUCHFILL,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,UNKNOWN,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Non-tuple registration row (method rule, universe definition, governance or technology admission). Data-feasibility columns are not meaningful and are recorded BLOCKED.",NO_CONTRADICTION_DETECTED,NONE
TUP-GENERIC-CRYPTO-MICRO,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,10000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Non-tuple registration row (method rule, universe definition, governance or technology admission). Data-feasibility columns are not meaningful and are recorded BLOCKED.",NO_CONTRADICTION_DETECTED,NONE
TUP-GENERIC-CME-QUEUE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,10000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Non-tuple registration row (method rule, universe definition, governance or technology admission). Data-feasibility columns are not meaningful and are recorded BLOCKED.",NO_CONTRADICTION_DETECTED,NONE
TUP-SYSTEMONE-HARDCORE-ENGINE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,UNKNOWN,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Non-tuple registration row (method rule, universe definition, governance or technology admission). Data-feasibility columns are not meaningful and are recorded BLOCKED.",NO_CONTRADICTION_DETECTED,NONE
TUP-JEV-HOSTED-LATENCY-UNMEASURED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,10000,BLOCKED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Non-tuple registration row (method rule, universe definition, governance or technology admission). Data-feasibility columns are not meaningful and are recorded BLOCKED.",NO_CONTRADICTION_DETECTED,NONE
