issue_id,resolution_method,resolution_stage,severity_migrated_from,tier,branch_impact,kill_potential,estimated_effort,migration_decision,migration_from,migration_reason,severity,status,claim_needed
UNK-0011,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,ONE,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: access and cost are Tier-1/Tier-3 facts.,BLOCKING,OPEN,"Eurex execution fees, product allocation rule, historical EOBI acquisition cost and broker/participant access path."
UNK-0012,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,ONE,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: the schedule is public, so this is cheap public research.",BLOCKING,OPEN,Cboe options class/order-type fee decomposition plus historical surface/depth data and hedging mechanics for a named option tuple.
UNK-0013,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,ONE,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: cheap public research, high kill potential.",BLOCKING,OPEN,"Deribit current access, fee, API semantics and historical book/surface data."
UNK-0014,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,SMALL,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: legality is explicitly an M1 gate (handoff §2).,BLOCKING,OPEN,"Jurisdiction-by-jurisdiction access, fee schedule, matching/API semantics and historical data for Kalshi and Polymarket."
UNK-0015,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,SMALL,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: 'no exact instrument definition' is an explicit M1 blocker.,BLOCKING,OPEN,"An exact FX venue (ECN or broker), participant class, feed, order protocol and last-look/execution mechanics."
UNK-0016,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,GLOBAL,LOW,SMALL,STAGE_M2_MEASUREMENT,M1_BLOCKING,"MIGRATED from M1_BLOCKING. The M1-relevant part is a *physical* check (feed cadence versus hypothesis horizon), which is computed in KG2/KG4 from verified venue facts. The latency of a pipeline that does not exist yet cannot be an M1 gate.",IMPORTANT,OPEN,Measured decision-to-market latency distribution (p50/p95/p99 plus jitter and deadline-miss rate) for this project's own stack.
UNK-0017,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,GLOBAL,LOW,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,"MIGRATED from M1_BLOCKING to M2_MEASUREMENT: this is an empirical estimand, and requiring it inside M1 would have made the technology branch unfalsifiable rather than merely unfunded.",IMPORTANT,OPEN,Reproducible hosted-Jev/local-System-One latency profile and incremental execution-aware utility versus a same-information classical baseline.
UNK-0018,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,GLOBAL,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: this is a data-adequacy fact, not a measurement.",BLOCKING,OPEN,"Validated timestamp semantics for historical and live feeds (exchange/event time versus receive time, clock domain, sequence integrity) sufficient for causal replay."
UNK-0019,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,MEDIUM,LOW,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,MIGRATED from M1_BLOCKING: markout is an M2 output; the M1 question is whether the data to measure it exists (KG2).,IMPORTANT,OPEN,Fill-conditioned markout distribution (adverse selection) for every passive or crossing candidate.
UNK-0020,EXTERNAL_ACTION,M1_BLOCKING,BLOCKING,3,ONE,MEDIUM,SMALL,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: data existence is Tier 1/3.,BLOCKING,RESOLVED_SUPPORTS,Historical NOII/auction execution data source and cost.
UNK-0021,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,BLOCKING,4,ONE,MEDIUM,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,MIGRATED from M1_BLOCKING. M1 keeps the *structural* part via a physical latency check; the survival measurement itself is M2.,IMPORTANT,OPEN,Cross-venue source-to-decision-to-venue latency and stale-quote survival for a multi-venue U.S. equity tuple.
UNK-0022,EXTERNAL_ACTION,M1_BLOCKING,IMPORTANT,3,ONE,MEDIUM,SMALL,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: cost and data existence are Tier-1/Tier-3.,BLOCKING,EXTERNAL_REQUEST_READY,"Cboe BZX proprietary depth availability, fee-code outcome and order-level history for this project's access path."
UNK-0023,PUBLIC_RESEARCH,M1_BLOCKING,IMPORTANT,1,GLOBAL,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: decisions already rest on these facts, and re-derivation is the cheapest available integrity upgrade.",BLOCKING,IN_PROGRESS,Resolvable identities (URL/DOI) for the 25 external sources the M1-A report cites only through opaque internal citation tokens.
UNK-0024,DEFERRED,NON_BLOCKING,NON_BLOCKING,4,ONE,LOW,SMALL,STAGE_NON_BLOCKING,M1_BLOCKING,NON_BLOCKING retained: recorded so judgment is not mistaken for evidence.,NON_BLOCKING,OPEN,A candidate-specific measured basis for the WEAK label on the cross-venue stale-quote tuple.
UNK-0025,DEFERRED,NON_BLOCKING,NON_BLOCKING,4,GLOBAL,LOW,SMALL,STAGE_NON_BLOCKING,M1_BLOCKING,NON_BLOCKING (already RESOLVED): internal consistency is what matters.,NON_BLOCKING,RESOLVED,An external basis for the H1..H5 horizon banding used to derive horizon_min_us and horizon_max_us.
UNK-0026,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,IMPORTANT,4,GLOBAL,LOW,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,MIGRATED to M2_MEASUREMENT; tracked because SUNK premises must not leak into M2 designs.,IMPORTANT,OPEN,"Independent external verification of any System-One/Jev capability claim used as a premise (calibration transport, latency, cost of operation)."
UNK-0027,PUBLIC_RESEARCH,M1_BLOCKING,BLOCKING,1,MEDIUM,HIGH,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,M1-BLOCKING retained: handoff §11 makes exact-instrument definition an M1 requirement.,BLOCKING,OPEN,"Exact instrument/contract/symbol specification for tuples that currently name a family rather than a tradable instrument (Treasury contract, WTI month, stock symbol, option class/expiry, event contract, FX pair/venue)."
UNK-0028,EXTERNAL_ACTION,M1_BLOCKING,IMPORTANT,3,GLOBAL,MEDIUM,MEDIUM,STAGE_M1_BLOCKING,UNKNOWN,"M1-BLOCKING retained: it determines which cost schedule applies, which is Tier 1.",BLOCKING,OPEN,"Capital requirement and account/tier eligibility for the venues named in the survivor set (institutional access, margin, minimum size)."
UNK-0029,EMPIRICAL_MEASUREMENT,POST_M2,IMPORTANT,4,GLOBAL,LOW,LARGE,STAGE_POST_M2,M1_BLOCKING,MIGRATED to POST_M2: capacity is only meaningful for a strategy that has already shown positive net EV; it cannot gate selection among candidates with unknown EV.,IMPORTANT,OPEN,Capacity and market-impact evidence at an economically meaningful size for any survivor.
UNK-0030,DEFERRED,NON_BLOCKING,IMPORTANT,4,GLOBAL,LOW,SMALL,STAGE_NON_BLOCKING,M1_BLOCKING,NON_BLOCKING (already RESOLVED): verdict re-derived under ASM-0018.,NON_BLOCKING,RESOLVED,Confirmation that the M1-A state claim 'the Jev paper and the research OS were not retrievable' still holds.
UNK-0031,PUBLIC_RESEARCH,NON_BLOCKING,NON_BLOCKING,1,GLOBAL,LOW,SMALL,STAGE_NON_BLOCKING,M1_BLOCKING,NON_BLOCKING: the specimen supplies no economic premise; it bounds confidence only.,NON_BLOCKING,OPEN,Transcription fidelity of the candidate-architecture paper's claim set.
UNK-0032,EMPIRICAL_MEASUREMENT,M2_MEASUREMENT,IMPORTANT,4,GLOBAL,LOW,MEDIUM,STAGE_M2_MEASUREMENT,M1_BLOCKING,"MIGRATED to M2_MEASUREMENT: it is a robustness output over measured inputs, and the project's own G4 gate places it after baseline evidence exists.",IMPORTANT,OPEN,Cost-sensitivity behaviour: does any surviving candidate remain viable under conservative fee/slippage assumptions?
UNK-0033,EXTERNAL_ACTION,M1_BLOCKING,UNKNOWN,3,MEDIUM,HIGH,SMALL,STAGE_M1_BLOCKING,UNKNOWN,"New blocker surfaced by primary-source research: the exchange side of equity cost is public, the sponsored-access side is not, and the project cannot trade directly on these venues.",BLOCKING,OPEN,"Sponsored-access cost: broker commission/markup for routed order flow, which no exchange or regulator publishes."
