candidate_id,candidate_class,report_status,status_ceiling,ceiling_permits_status,status_basis,gates_diverged_from_m1a,m1a_vector,computed_vector
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-USSTOCK-XVENUE-H1-STALEQUOTE-AGG,TUPLE,WEAK,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (WEAK); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|BLOCKED|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-FX-ECN-H2H3-LEADLAG-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|BLOCKED,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,TUPLE,UNKNOWN,NOT_ALIVE,YES,"Computed gates: BLOCKED on KG1_MECHANISM, KG2_DATA, KG3_EXECUTION, KG5_FALSIFIABILITY. M1-A label preserved (UNKNOWN); the ceiling forbids ALIVE while a gate is BLOCKED.",KG4_HALF_LIFE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|BLOCKED,BLOCKED|BLOCKED|BLOCKED|PASS|BLOCKED
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,TUPLE,DEAD,DEAD,YES,"Computed gates: FAIL on KG2_DATA. Rule trace: The only historical product available for this row's stated requirement is structurally insufficient, so causal replay is impossible as written.",KG4_HALF_LIFE|KG5_FALSIFIABILITY,BLOCKED|FAIL|BLOCKED|BLOCKED|PASS,BLOCKED|FAIL|BLOCKED|PASS|BLOCKED
TUP-METHOD-PASSIVE-TOUCHFILL,METHOD_RULE,DEAD,DEAD,YES,"Computed gates: FAIL on KG5_FALSIFIABILITY. Rule trace: Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate.",KG3_EXECUTION|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|FAIL|BLOCKED|PASS,BLOCKED|BLOCKED|BLOCKED|BLOCKED|FAIL
TUP-GENERIC-CRYPTO-MICRO,UNIVERSE_DEFINITION,DEAD,DEAD,YES,"Computed gates: FAIL on KG5_FALSIFIABILITY. Rule trace: Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate.",NONE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|FAIL,BLOCKED|BLOCKED|BLOCKED|BLOCKED|FAIL
TUP-GENERIC-CME-QUEUE,UNIVERSE_DEFINITION,DEAD,DEAD,YES,"Computed gates: FAIL on KG5_FALSIFIABILITY. Rule trace: Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate.",NONE,BLOCKED|BLOCKED|BLOCKED|BLOCKED|FAIL,BLOCKED|BLOCKED|BLOCKED|BLOCKED|FAIL
TUP-SYSTEMONE-HARDCORE-ENGINE,GOVERNANCE,DEAD,DEAD,YES,"Computed gates: FAIL on KG1_MECHANISM, KG3_EXECUTION, KG5_FALSIFIABILITY. Rule trace: Admission-policy boundary: no evidenced economic mechanism is claimed for this row, so no mechanism test exists to pass.; Admission-policy boundary: the row asserts a technology capability that is unmeasured and barred from the execution path by policy.; Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate.",KG3_EXECUTION,FAIL|BLOCKED|BLOCKED|BLOCKED|FAIL,FAIL|BLOCKED|FAIL|BLOCKED|FAIL
TUP-JEV-HOSTED-LATENCY-UNMEASURED,TECHNOLOGY_ADMISSION,DEAD,DEAD,YES,"Computed gates: FAIL on KG1_MECHANISM, KG3_EXECUTION, KG5_FALSIFIABILITY. Rule trace: Admission-policy boundary: no evidenced economic mechanism is claimed for this row, so no mechanism test exists to pass.; Admission-policy boundary: the row asserts a technology capability that is unmeasured and barred from the execution path by policy.; Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate.",KG1_MECHANISM|KG5_FALSIFIABILITY,BLOCKED|BLOCKED|FAIL|BLOCKED|PASS,FAIL|BLOCKED|FAIL|BLOCKED|FAIL
