issue_id,severity,resolution_class,resolution_class_meaning,resolution_method,resolution_stage,tier,branch_impact,kill_potential,estimated_effort,affected_candidate_count,affected_candidate_ids,decision_prevented,specific_evidence_required,web_research_resolvable,requires_vendor_quote,requires_m2_measurement,branch_kill_potential,linked_open_question_ids,status,priority_score,priority_reason
UNK-0014,BLOCKING,A,resolvable by additional public/web research,PUBLIC_RESEARCH,M1_BLOCKING,1,SMALL,HIGH,MEDIUM,2,TUP-KALSHI-EVENT-H5-EVENTINF-AGG|TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG,Legality/access gate for both event-market tuples.,A current per-contract access matrix plus fee/API/history facts.,YES,UNKNOWN,UNKNOWN,MEDIUM,OQ-0009,IN_PROGRESS,12.0,M1-BLOCKING retained: legality is explicitly an M1 gate (handoff §2).
UNK-0015,BLOCKING,A,resolvable by additional public/web research,PUBLIC_RESEARCH,M1_BLOCKING,1,SMALL,HIGH,MEDIUM,2,TUP-FX-ECN-H2H3-LEADLAG-AGG|TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,Defining the tuple at all (KG1/KG3/KG5).,A named venue plus participant status and its published or contractual execution policy.,PARTIAL (public institutional facts exist; participant status does not),PARTIAL,UNKNOWN,MEDIUM,OQ-0009,OPEN,12.0,M1-BLOCKING retained: 'no exact instrument definition' is an explicit M1 blocker.
UNK-0035,IMPORTANT,UNKNOWN,UNKNOWN,PUBLIC_RESEARCH,M1_BLOCKING,1,MEDIUM,LOW,SMALL,4,TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS|TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG|TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX|TUP-POLYMARKET-EVENT-H5-EVENTINF-AGG,After-cost replication validity: a cost model built on an undated dynamic page cannot be shown to describe the period it is tested on.,"A dated, hashed snapshot of each fee page taken by the project, re-taken on a fixed schedule, with the figure used by any cost model tied to the snapshot it came from.",UNKNOWN,NO,UNKNOWN,MEDIUM,NONE,OPEN,12.0,"Surfaced by primary research: several venues publish fees without dates, so the project must create the version record the venue does not."
UNK-0028,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,GLOBAL,MEDIUM,MEDIUM,28,ALL_CANDIDATES (28 registered rows),Deployment-shape decisions (not M1 selection); also drives which fee tier applies in M2 cost configuration.,Broker/venue quotes for the intended account type plus margin and minimum-size terms.,UNKNOWN,YES,UNKNOWN,HIGH,OQ-0002,OPEN,10.0,"M1-BLOCKING retained: it determines which cost schedule applies, which is Tier 1."
UNK-0005,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,MEDIUM,HIGH,MEDIUM,5,TUP-NASDAQ-LARGETICK-H2-QIMB-AGG|TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG|TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS|TUP-USSTOCK-XVENUE-H1-STALEQUOTE-AGG|TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,Net-economics arithmetic for equity tuples (KG3).,"Broker/venue fee schedule for the project's exact routing and account type, per fee code.",PARTIAL (published schedules exist; the project's routing outcome does not),YES,UNKNOWN,HIGH,NONE,IN_PROGRESS,9.0,M1-BLOCKING retained: known costs are Tier-1 killers.
UNK-0003,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,SMALL,HIGH,MEDIUM,5,TUP-CME-ES-H1-QDEP-PAS|TUP-CME-ES-H3-OFI-AGG|TUP-CME-NQ-H3-OFI-AGG|TUP-CME-TSY-H2-QREPL-MIX|TUP-CME-WTI-H4-FLOWVOL-AGG,"Causal queue replay for CME candidates (KG2), and therefore M2 for them.",Vendor quote plus a sample file whose schema and timestamp fields are validated against a live feed.,UNKNOWN,YES,UNKNOWN,HIGH,OQ-0004|OQ-0015,IN_PROGRESS,6.0,M1-BLOCKING retained: data procurement feasibility is an M1 question (handoff §15 KG2).
UNK-0011,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,ONE,HIGH,MEDIUM,1,TUP-EUREX-FESX-H2H3-OFIQ-MIX,Any Eurex candidate progressing beyond universe status.,"Instrument-specific fee schedule, matching rule, historical data quote and access route.",UNKNOWN,YES,UNKNOWN,LOW,OQ-0004|OQ-0009,OPEN,3.0,M1-BLOCKING retained: access and cost are Tier-1/Tier-3 facts.
UNK-0001,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,SMALL,HIGH,MEDIUM,5,TUP-CME-ES-H1-QDEP-PAS|TUP-CME-ES-H3-OFI-AGG|TUP-CME-NQ-H3-OFI-AGG|TUP-CME-TSY-H2-QREPL-MIX|TUP-CME-WTI-H4-FLOWVOL-AGG,Aggressive CME execution viability (KG3) for every CME tuple.,"Current CME/FCM schedule for the exact account path, registered as an immutable M2 cost configuration.",PARTIAL (public schedules exist; the project's own commission path does not),YES,NO,HIGH,OQ-0002,EXTERNAL_REQUEST_READY,UNKNOWN,UNKNOWN
UNK-0004,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,MEDIUM,HIGH,MEDIUM,4,TUP-NASDAQ-LARGETICK-H2-QIMB-AGG|TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG|TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG|TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,Queue-aware backtesting of every Nasdaq equity tuple (KG2).,"Order-level historical product, license terms, sample and cost.",UNKNOWN,YES,UNKNOWN,MEDIUM,OQ-0004|OQ-0015,EXTERNAL_REQUEST_READY,UNKNOWN,UNKNOWN
UNK-0020,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,ONE,MEDIUM,SMALL,1,TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,Auction tuple feasibility (KG2): without it the auction candidate has no historical basis for testing.,Historical auction-imbalance dataset with exact dissemination timestamps.,UNKNOWN,YES,UNKNOWN,LOW,OQ-0004,RESOLVED_SUPPORTS,UNKNOWN,UNKNOWN
UNK-0022,BLOCKING,B,requires exchange/vendor/broker quote or sample,EXTERNAL_ACTION,M1_BLOCKING,3,ONE,MEDIUM,SMALL,1,TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,BZX passive tuple feasibility (KG2/KG3).,Feed/data entitlement list and a sample of realized fee codes.,UNKNOWN,YES,UNKNOWN,LOW,OQ-0004,EXTERNAL_REQUEST_READY,UNKNOWN,UNKNOWN
