candidate_id,gate,value,rule,reason
TUP-CME-TSY-H2-QREPL-MIX,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-CME-TSY-H2-QREPL-MIX,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-CME-WTI-H4-FLOWVOL-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-CME-WTI-H4-FLOWVOL-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-CME-WTI-H4-FLOWVOL-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-CME-WTI-H4-FLOWVOL-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-CME-WTI-H4-FLOWVOL-AGG,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,KG3_EXECUTION,BLOCKED,KG3-R3,"Verified round-trip fee floor of 120.0 bps and no venue-specific gross-effect evidence. Whether that floor is material cannot be decided from the evidence package: it needs either a documented materiality bound for this mechanism class or a venue-specific after-cost replication (UNK-0009). A cost level alone is not a kill: the kills recorded in the dead ledger were decisions with stated reasoning, not emergent arithmetic."
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-COINBASE-BTCUSD-H3-MICROOFI-AGG,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-DERIBIT-BTCOPT-H5-SURFRV-MIX,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-EUREX-FESX-H2H3-OFIQ-MIX,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-EUREX-FESX-H2H3-OFIQ-MIX,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified. A queue-dependent mechanism additionally needs order-level history."
TUP-EUREX-FESX-H2H3-OFIQ-MIX,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-EUREX-FESX-H2H3-OFIQ-MIX,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-EUREX-FESX-H2H3-OFIQ-MIX,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-FX-ECN-H2H3-LEADLAG-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-FX-ECN-H2H3-LEADLAG-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-FX-ECN-H2H3-LEADLAG-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-FX-ECN-H2H3-LEADLAG-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-FX-ECN-H2H3-LEADLAG-AGG,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-FX-RETAILBROKER-H3H4-FEEDLAG-AGG,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-GENERIC-CME-QUEUE,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-GENERIC-CME-QUEUE,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified. A queue-dependent mechanism additionally needs order-level history."
TUP-GENERIC-CME-QUEUE,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-GENERIC-CME-QUEUE,KG4_HALF_LIFE,BLOCKED,KG4-R3,"No preregistered EV(delay) experiment exists, so the horizon claim could not be tested even if funded."
TUP-GENERIC-CME-QUEUE,KG5_FALSIFIABILITY,FAIL,KG5-R1,"Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate."
TUP-GENERIC-CRYPTO-MICRO,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-GENERIC-CRYPTO-MICRO,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-GENERIC-CRYPTO-MICRO,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-GENERIC-CRYPTO-MICRO,KG4_HALF_LIFE,BLOCKED,KG4-R3,"No preregistered EV(delay) experiment exists, so the horizon claim could not be tested even if funded."
TUP-GENERIC-CRYPTO-MICRO,KG5_FALSIFIABILITY,FAIL,KG5-R1,"Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate."
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,KG2_DATA,FAIL,KG2-R1,Verified feed interval 500000 us exceeds the hypothesis horizon floor 10000 us: the observation loop cannot run at the hypothesised horizon.
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,KG4_HALF_LIFE,FAIL,KG4-R1,"Verified feed cadence is slower than the hypothesis horizon: a physical timing contradiction, not a missing measurement."
TUP-HYPERLIQUID-BTCPERP-H1-QDEP-AGGPAS,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,KG3_EXECUTION,BLOCKED,KG3-R3,"Verified round-trip fee floor of 9.0 bps and no venue-specific gross-effect evidence. Whether that floor is material cannot be decided from the evidence package: it needs either a documented materiality bound for this mechanism class or a venue-specific after-cost replication (UNK-0009). A cost level alone is not a kill: the kills recorded in the dead ledger were decisions with stated reasoning, not emergent arithmetic."
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-HYPERLIQUID-BTCPERP-H3-OFILIQ-AGG,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-HYPERLIQUID-BTCPERP-H4-FUNDBASIS-MIX,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-JEV-HOSTED-LATENCY-UNMEASURED,KG1_MECHANISM,FAIL,KG1-R1,"Admission-policy boundary: no evidenced economic mechanism is claimed for this row, so no mechanism test exists to pass."
TUP-JEV-HOSTED-LATENCY-UNMEASURED,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified. A queue-dependent mechanism additionally needs order-level history."
TUP-JEV-HOSTED-LATENCY-UNMEASURED,KG3_EXECUTION,FAIL,KG3-R1,Admission-policy boundary: the row asserts a technology capability that is unmeasured and barred from the execution path by policy.
TUP-JEV-HOSTED-LATENCY-UNMEASURED,KG4_HALF_LIFE,BLOCKED,KG4-R3,"No preregistered EV(delay) experiment exists, so the horizon claim could not be tested even if funded."
TUP-JEV-HOSTED-LATENCY-UNMEASURED,KG5_FALSIFIABILITY,FAIL,KG5-R1,"Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate."
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-KALSHI-EVENT-H5-EVENTINF-AGG,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,KG3_EXECUTION,BLOCKED,KG3-R3,"Verified round-trip fee floor of 160.0 bps and no venue-specific gross-effect evidence. Whether that floor is material cannot be decided from the evidence package: it needs either a documented materiality bound for this mechanism class or a venue-specific after-cost replication (UNK-0009). A cost level alone is not a kill: the kills recorded in the dead ledger were decisions with stated reasoning, not emergent arithmetic."
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-KRAKEN-BTCUSD-H3-MICROOFI-AGG,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-METHOD-PASSIVE-TOUCHFILL,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-METHOD-PASSIVE-TOUCHFILL,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: live_feed, historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-METHOD-PASSIVE-TOUCHFILL,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-METHOD-PASSIVE-TOUCHFILL,KG4_HALF_LIFE,BLOCKED,KG4-R2,"Horizon is not banded, so no timing comparison is possible."
TUP-METHOD-PASSIVE-TOUCHFILL,KG5_FALSIFIABILITY,FAIL,KG5-R1,"Not a valid unit of analysis: a universe definition, method rule, governance boundary or technology admission cannot carry a measurable outcome. A reformulation is a new candidate."
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified."
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,KG5_FALSIFIABILITY,PASS,KG5-R5,"Exact nulls, dataset requirements, metric and kill criteria are specifiable before results are observed."
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,KG1_MECHANISM,BLOCKED,KG1-R4,No venue-specific evidence that the mechanism operates on this venue/instrument. Borrowed evidence from another market is an extrapolation and cannot pass KG1.
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,KG2_DATA,FAIL,KG2-R2,"The only historical product available for this row's stated requirement is structurally insufficient, so causal replay is impossible as written."
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,KG4_HALF_LIFE,BLOCKED,KG4-R5,"No positive horizon-plausibility evidence: the candidate has no sourced empirical effect, documented mechanism cadence or structural timing fact at a comparable horizon. Absence of a contradiction is not positive evidence, so the horizon claim is unsupported rather than established."
TUP-NASDAQ-LARGETICK-H1H2-QUEUEPOS-L1ONLY-AGG,KG5_FALSIFIABILITY,BLOCKED,KG5-R2,"Instrument is a family rather than an exact contract/symbol, so no measurable outcome can be attributed (UNK-0027)."
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,KG1_MECHANISM,PASS,KG1-R2,"Venue-specific supporting evidence exists (EVD-0012, EVD-0064) and no supported-finding record contradicts the mechanism. This justifies quantitative testing; it is not evidence of net edge."
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,KG2_DATA,BLOCKED,KG2-R4,"Data adequacy not established: historical_feed, PIT_reconstructable, timestamp_adequacy are not verified. A queue-dependent mechanism additionally needs order-level history."
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,KG3_EXECUTION,BLOCKED,KG3-R4,"No verified fee component exists for this venue, so the platform cannot assert that known costs do not already invalidate the thesis. Known mandatory cost is an M1 fact (UNK-0001/0005/0011/0012/0013/0022/0028)."
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,KG4_HALF_LIFE,PASS,KG4-R4,"Positive horizon evidence exists (EVD-0012, EVD-0064) with no known physical timing contradiction and a preregistered delay experiment. The empirical half-life remains an M2 output by design (UNK-0008)."
