assumption_id,hypothesis_id,statement,class,why_required,current_evidence,confidence_state,falsifier,test,observable_residual,enforced_in_code,owner,last_reviewed,source_id,status
ASM-0016,UNKNOWN,"Candidate counts are reported separately for tradable tuples and for non-tuple registration rows (method rules, universe definitions, governance and technology admissions).",policy composition,'0 ALIVE of 28 candidates' would otherwise be ambiguous about what was being counted.,"The M1-A cemetery mixes tuples with method, universe and governance kills.",strong,A count is published that mixes the two classes.,Report module asserts both counts.,Ambiguous candidate totals.,YES,research-engineering,2026-09-20,SRC-0011,ACTIVE
ASM-0017,UNKNOWN,"Evidence-class counts per candidate are descriptive only; no evidence score, weight vector or quality index is constructed at M1-D0.",statistical identification,A score would convert missing evidence into apparent precision.,Handoff D0.3.,strong,A scoring rule is registered with an explicit rubric and evidence basis.,Coverage module emits counts only.,Any score column appearing in M1 outputs.,YES,research-engineering,2026-09-20,SRC-0026,ACTIVE
ASM-0018,UNKNOWN,"Where the M1-A artifact gave two reasons for its own incompleteness and one is now false in this repository (the source files are present), the verdict is re-derived from the remaining blockers rather than inherited; the verdict itself is unchanged because the remaining blockers are sufficient.",policy composition,Prevents an inherited verdict from surviving on a stale premise.,"SRC-0011's retrievability premise is contradicted by the repository contents; the empirical blockers (UNK-0001..UNK-0009, UNK-0016) are independently sufficient.",strong,All remaining blockers close without new evidence.,Readiness report recomputes M1-A status from open blockers.,M1-A status and blocker list disagree.,YES,research-engineering,2026-09-20,SRC-0011|SRC-0026,ACTIVE
ASM-0101,TUP-SYSTEMONE-HARDCORE-ENGINE,The chosen market-making edge survives the full decision-to-order delay.,latency / signal half-life,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0102,TUP-SYSTEMONE-HARDCORE-ENGINE,Avellaneda-Stoikov remains a competitive baseline after realistic queue and adverse-selection modelling.,execution / fill,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0103,TUP-SYSTEMONE-HARDCORE-ENGINE,Semantic regime/toxicity judgments contain information not already represented by local quantitative features.,calibration / uncertainty,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0104,TUP-SYSTEMONE-HARDCORE-ENGINE,Native or locally recalibrated Jev scores remain useful under regime shift.,calibration / uncertainty,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0105,TUP-SYSTEMONE-HARDCORE-ENGINE,The state representation contains enough information without excess context.,model generalization,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0106,TUP-SYSTEMONE-HARDCORE-ENGINE,Six parallel questions do not create harmful common-mode errors.,calibration / uncertainty,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0107,TUP-SYSTEMONE-HARDCORE-ENGINE,Model gating improves quote quality after accounting for opportunity cost from abstention.,calibration / uncertainty,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0108,TUP-SYSTEMONE-HARDCORE-ENGINE,"Real fill/markout economics remain positive after fees, gas, adverse selection and queue effects.",execution / fill,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0109,TUP-SYSTEMONE-HARDCORE-ENGINE,Hosted model availability/jitter does not create stale-action risk because fallback logic is enforced.,latency / signal half-life,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0110,TUP-SYSTEMONE-HARDCORE-ENGINE,"Any sizing rule is based on execution-aware return distributions, not semantic confidence.",policy composition,Derived by the project audit as a required premise of the candidate architecture (SRC-0020).,None of these is evidenced; each is a premise the architecture needs in order to work.,unknown,"A same-information classical policy matches or beats the architecture on sealed, execution-aware utility, or the premise fails its own test.","Nested experiment arms A0..A7 from SRC-0020, each with a same-information control.",incremental execution-aware net utility of A5/A6 over A4.,NO,research-engineering,2026-09-20,SRC-0020,UNKNOWN_PREMISE
ASM-0111,TUP-SYSTEMONE-HARDCORE-ENGINE,"Sizing may be computed directly from a model probability via f = c * max(0, 2p - 1).",policy composition,"Registered because the candidate-architecture paper asserts it; it is the paper's premise, not a project assumption.","The project audit shows this is the even-money binary-bet Kelly form, which does not describe a market-making trade (fill probability, spread capture, adverse selection, inventory, fees and exit mechanics all matter).",falsified,An execution-aware return distribution reproduces the same sizing rule.,Compare sizing from the paper's formula against sizing from a fitted execution-aware outcome distribution on the same states.,divergence in position size and realized utility.,NO,research-engineering,2026-09-20,SRC-0020|SRC-0010,FALSIFIED
