fit_id,horizon_band,technology_class,runtime_zone,physical_admissibility,admission_status,assessment,blocking_issue_ids,source_id,notes
FIT-H2-HOSTED_JEV,H2,HOSTED_JEV,ORDER_PATH,UNKNOWN,LOCKED_OUT_BY_DEFAULT,UNKNOWN / locked out by default.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Model complexity must justify decision-to-market delay. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H2-FRONTIER_LLM,H2,FRONTIER_LLM,ORDER_PATH,UNKNOWN,LOCKED_OUT_BY_DEFAULT,UNKNOWN / locked out by default.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Model complexity must justify decision-to-market delay. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H3-RULES_DETERMINISTIC,H3,RULES_DETERMINISTIC,NEAR_ORDER_PATH,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"First horizon where semantic/selective inference could be experimentally considered without presuming value. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H3-LOGISTIC_TREE_BOOST,H3,LOGISTIC_TREE_BOOST,NEAR_ORDER_PATH,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"First horizon where semantic/selective inference could be experimentally considered without presuming value. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H3-LOCAL_NEURAL,H3,LOCAL_NEURAL,NEAR_ORDER_PATH,PLAUSIBLE,GATED,Plausible.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"First horizon where semantic/selective inference could be experimentally considered without presuming value. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H3-LOCAL_SYSTEM_ONE,H3,LOCAL_SYSTEM_ONE,NEAR_ORDER_PATH,POTENTIALLY_TESTABLE,LOCKED_OUT_BY_DEFAULT,Potentially testable.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"First horizon where semantic/selective inference could be experimentally considered without presuming value. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H3-HOSTED_JEV,H3,HOSTED_JEV,NEAR_ORDER_PATH,PHYSICALLY_UNRESOLVED_UNTIL_P99_MEASURED,LOCKED_OUT_BY_DEFAULT,Physically unresolved until p99 is measured.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"First horizon where semantic/selective inference could be experimentally considered without presuming value. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H3-FRONTIER_LLM,H3,FRONTIER_LLM,NEAR_ORDER_PATH,TESTABLE_ONLY_AS_NONCRITICAL_JUDGMENT,LOCKED_OUT_BY_DEFAULT,Potentially testable only as noncritical judgment.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"First horizon where semantic/selective inference could be experimentally considered without presuming value. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H4-RULES_DETERMINISTIC,H4,RULES_DETERMINISTIC,OFFLINE_OR_NEARLINE,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Economic value rather than raw speed becomes easier to test. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H4-LOGISTIC_TREE_BOOST,H4,LOGISTIC_TREE_BOOST,OFFLINE_OR_NEARLINE,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Economic value rather than raw speed becomes easier to test. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H4-LOCAL_NEURAL,H4,LOCAL_NEURAL,OFFLINE_OR_NEARLINE,PLAUSIBLE,GATED,Plausible.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Economic value rather than raw speed becomes easier to test. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H4-LOCAL_SYSTEM_ONE,H4,LOCAL_SYSTEM_ONE,OFFLINE_OR_NEARLINE,PLAUSIBLE_EXPERIMENTAL_CHALLENGER,LOCKED_OUT_BY_DEFAULT,Plausible experimental challenger.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Economic value rather than raw speed becomes easier to test. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H4-HOSTED_JEV,H4,HOSTED_JEV,OFFLINE_OR_NEARLINE,PLAUSIBLE_AFTER_REAL_LATENCY_AND_RELIABILITY_MEASUREMENT,LOCKED_OUT_BY_DEFAULT,Plausible only after real latency/reliability measurement.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Economic value rather than raw speed becomes easier to test. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H4-FRONTIER_LLM,H4,FRONTIER_LLM,OFFLINE_OR_NEARLINE,SEMANTIC_EVENT_PROCESSING_ONLY,LOCKED_OUT_BY_DEFAULT,"Plausible for semantic event processing, not hard execution.",UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Economic value rather than raw speed becomes easier to test. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H5-RULES_DETERMINISTIC,H5,RULES_DETERMINISTIC,OFFLINE_OR_NEARLINE,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Execution/risk arithmetic remains deterministic regardless. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H5-LOGISTIC_TREE_BOOST,H5,LOGISTIC_TREE_BOOST,OFFLINE_OR_NEARLINE,STRONG_BASELINE,BASELINE_REQUIRED,Strong baseline.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Execution/risk arithmetic remains deterministic regardless. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H5-LOCAL_NEURAL,H5,LOCAL_NEURAL,OFFLINE_OR_NEARLINE,PLAUSIBLE,GATED,Plausible.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Execution/risk arithmetic remains deterministic regardless. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H5-LOCAL_SYSTEM_ONE,H5,LOCAL_SYSTEM_ONE,OFFLINE_OR_NEARLINE,PLAUSIBLE,LOCKED_OUT_BY_DEFAULT,Plausible.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Execution/risk arithmetic remains deterministic regardless. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H5-HOSTED_JEV,H5,HOSTED_JEV,OFFLINE_OR_NEARLINE,PLAUSIBLE_LATENCY_WISE_ECONOMICALLY_UNPROVEN,LOCKED_OUT_BY_DEFAULT,"Plausible from a latency standpoint, still economically unproven.",UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Execution/risk arithmetic remains deterministic regardless. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
FIT-H5-FRONTIER_LLM,H5,FRONTIER_LLM,OFFLINE_OR_NEARLINE,PLAUSIBLE_FOR_UNSTRUCTURED_INFORMATION,LOCKED_OUT_BY_DEFAULT,Plausible for unstructured information.,UNK-0008|UNK-0016|UNK-0017,SRC-0011,"Execution/risk arithmetic remains deterministic regardless. Physical plausibility only; this matrix is not a recommendation. Policy: hosted Jev is barred from sub-10 ms execution/routing paths, and System-One models never perform arithmetic, expected-utility calculation, sizing or hard risk logic (SRC-0015)."
