mechanism_id,name,economic_mechanism,economic_payer,payer_evidence_status,structural_driver,observable_signature,expected_horizon,persistence_explanation,capacity_constraint,failure_regime,strongest_support,strongest_counterargument,modern_replication_status,report_evidence_status,evidence_class,source_id,status
MECH-AUCTIONIMB,Auction imbalances,Benchmark/close demand is concentrated into a clearing event,Funds seeking benchmark execution,EXTRAPOLATION,NOII / indicative price / imbalance dissemination,Published indicative price and imbalance side/size,H3-H5,UNKNOWN,UNKNOWN,UNKNOWN,Nasdaq NOII makes auction imbalance publicly observable (SRC-0108),"Observability does not establish excess return after auction impact, and it is observable to everyone",NOT_REPLICATED,OBSERVABLE FACT,CONSENSUS_FACT,SRC-0011,REGISTERED
MECH-LEADLAG,Cross-venue lead-lag,One venue discovers price before another,Slower venue participants,EXTRAPOLATION,Conditional lag after a source-venue move,Time-ordered price discovery across venues,H1-H3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Likely highly latency-sensitive; stale quotes may vanish before fill,NOT_REPLICATED,UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-STALEQUOTE,Fragmented stale pricing,Routing/fragmentation leaves temporary price discrepancies,Participants posting stale liquidity,EXTRAPOLATION,Cross-book crossed/locked/stale state,Cross-venue crossed or stale quotes,H1-H2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,The most obvious forms invite dedicated low-latency competition,NOT_REPLICATED,UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-OPTSURFRV,Options surface relative value,Relative mispricing across strikes and expiries,Hedgers / flow imbalance,EXTRAPOLATION,Residual versus a surface model,Surface residuals,H4-H5+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Model risk, spreads, legging, vol/spot hedging and fee complexity",NOT_REPLICATED,UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-GAMMAHEDGE,Dealer hedging / gamma effects,Option inventory can induce predictable hedging demand,Option dealers and users,EXTRAPOLATION,Spot flow conditional on option positioning,Conditional spot flow proxies,H4-H5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dealer positioning is imperfectly observed; causal attribution is difficult,NOT_REPLICATED,CONTESTED HYPOTHESIS in this package,CONTESTED_HYPOTHESIS,SRC-0011,REGISTERED
MECH-VRP,Volatility risk premium,Investors pay to transfer crash/variance risk,Protection buyers,EXTRAPOLATION,Implied versus realized volatility,IV-RV spread,H5+,UNKNOWN,UNKNOWN,UNKNOWN,Established research area,"Not adequately audited for this M1 tuple; the premium is compensation for tail risk, not necessarily alpha",NOT_AUDITED_HERE,"Established area, not audited here",UNKNOWN,SRC-0011,REGISTERED
MECH-FEEREBATE,Fee / rebate effects,Venue incentives change optimal provision and routing behaviour,Venue and participants via the fee schedule,CONSENSUS_FACT,Fill economics conditional on fee code,Realized fee codes per fill,H2-H5,UNKNOWN,UNKNOWN,UNKNOWN,"Cboe BZX rebate/remove schedule is explicit; Coinbase and Kraken tiers are explicit (SRC-0114, SRC-0105, SRC-0106)",Rebate harvesting without adverse-selection modelling is invalid,SCHEDULES_VERIFIED_FILL_ECONOMICS_NOT,CONSENSUS FACT that incentives differ materially,CONSENSUS_FACT,SRC-0011,REGISTERED
MECH-MKTDESIGN,Market-design quirks,Rules create localized flow/priority effects,Participants constrained by rules,EXTRAPOLATION,Order-type and matching-event signatures,Rule-conditioned order events,ANY,UNKNOWN,UNKNOWN,UNKNOWN,"Venue heterogeneity is documented (matching processes, fee codes, interfaces)",Must be evaluated one rule and one venue at a time; a generic rule model is unjustified,HETEROGENEITY_SUPPORTED,SUPPORTED as venue heterogeneity,SUPPORTED_FINDING,SRC-0011,REGISTERED
MECH-EVENTLAT,Event/news latency,Public information is incorporated at different speeds,Slower information processors,EXTRAPOLATION,Timestamped event then market reaction,Event-time price reaction,H1-H5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lowest-latency versions are infrastructure-dominated; semantic value must beat faster baselines,NOT_REPLICATED,UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-BEHAVFLOW,Behavioural flow,Recurrent human/institutional behaviour creates conditional demand,Behaviourally constrained traders,EXTRAPOLATION,Time/event-conditioned flow,Calendar/event-conditioned order flow,H4-H5+,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Easy to overfit calendar patterns,NOT_REPLICATED,UNKNOWN,UNKNOWN,SRC-0011,REGISTERED
MECH-HORIZMISMATCH,Horizon mismatch,Large institutions cannot optimize tiny-capacity opportunities,Mandate/capacity-constrained large participants,EXTRAPOLATION,Small-capacity repeatable micro-edge,Capacity vs edge-size relationship,H3-H5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Must demonstrate the opportunity is too small or operationally unattractive to larger firms,NOT_REPLICATED,CONTESTED HYPOTHESIS,CONTESTED_HYPOTHESIS,SRC-0011,REGISTERED
MECH-BSLIQUIDITY,Balance-sheet-constrained liquidity provision,Capital and risk limits make compensation for warehousing risk persistent,Hedgers and liquidity demanders,EXTRAPOLATION,Spreads/basis widening when balance sheet is scarce,Spread and basis levels versus balance-sheet proxies,H4-H5+,UNKNOWN,UNKNOWN,UNKNOWN,Structurally plausible,Empirical lock incomplete; often earns a risk premium rather than pure alpha,LOCK_INCOMPLETE,"STRUCTURALLY PLAUSIBLE, empirical lock incomplete",EXTRAPOLATION,SRC-0011,REGISTERED
